宜宾,89
南充,129
都江堰,12
自贡,4
泸州,43
广元,21
达州市,52
资阳,0
绵阳,79
眉山市,31
遂宁,43
雅安,15
阆中,20
攀枝花,12
广汉,50
绵竹市,21
万源,6
华蓥,0
江油,34
西昌,33
彭州,12
简阳,0
崇州,3
什邡市,11
峨眉山,11
邛崃,1
双流县,12
贵阳,126
安顺,16
遵义,47
六盘水,19
兴义,19
都匀,7
凯里,20
毕节,0
清镇,2
铜仁,10
赤水,0
仁怀,0
福泉市,6
昆明,43
玉溪,12
大理,0
曲靖,7
昭通,14
保山,3
丽江市,5
临沧市,3
楚雄,6
开远,7
个旧,0
景洪,3
安宁市,6
宣威,7
西安,267
咸阳,64
榆林,47
宝鸡,22
铜川,23
渭南,83
汉中,78
安康,15
商洛,7
延安,31
韩城,5
兴平,11
华阴,1
兰州,58
白银,28
武威,7
金昌,1
平凉,3
张掖,52
嘉峪关,18
酒泉,20
庆阳市,27
定西,12
陇南,21
天水,23
玉门,2
临夏,18
合作,0
敦煌,2
甘南州,0
西宁,54
格尔木,2
德令哈,0
台北,1
台南,0
台中市,1
高雄,0
桃源县,14
呼和浩特,22
呼伦贝尔,3
赤峰,52
扎兰屯,6
鄂尔多斯,36
乌兰察布市,15
巴彦淖尔,49
二连浩特,1
霍林郭勒,0
包头,25
乌海,15
阿尔山,0
乌兰浩特,22
锡林浩特,13
根河,0
满洲里,13
额尔古纳,6
牙克石,10
临河,12
丰镇,16
通辽,5
南宁,86
贺州市,13
玉林,20
桂林,10
柳州,85
梧州,56
北海,12
钦州,33
百色,6
防城港,23
贵港,35
河池,44
崇左市,8
来宾,0
东兴市,18
桂平,22
北流,0
岑溪,0
合山,2
凭祥,0
宜州,6
拉萨,2
日喀则,0
银川,9
固原市,15
石嘴山,10
青铜峡,8
中卫市,10
吴忠,0
灵武市,7
乌鲁木齐,121
石河子,1
喀什,22
阿勒泰,2
阜康,4
库尔勒,8
阿克苏,11
阿拉尔,0
哈密,3
克拉玛依,21
昌吉,10
奎屯,11
米泉,0
和田,2
香港,0
澳门,0
